PointName,TouristZone,PointType,ServiceClass,Latitude,Longitude,OpenDate,CloseDate,DaysMax,DaysMin,TouristsCount,AvPointPrice,NeedGuide,WorkersCount,TransportType,Tourists2022,Tourists2021,Tourists2020,Tourists2019,Tourists2018,Tourists2017,Tourists2016
Архангельский театр драмы имени М.В. Ломоносова,Архангельск,Театр,Недифференцирован,64.536504, ,40.515280,круглогодично,круглогодично,1,1, , , , , ,,,,,,,
"""Беломорские узоры"" (Народные художественные промыслы)",Архангельск,Этнический центр,Недифференцирован,64.559452, ,40.520756,круглогодично,круглогодично,1,1, , ,да, ,Автомобиль, автобус,,,,,,,
Архангельский молодежный театр,Архангельск,Театр,Недифференцирован,64.549876, ,40.519231,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Архангельский музей изобразительных искусств,Архангельск,Музей,Недифференцирован,64.539888, ,40.518417,круглогодично,круглогодично,1,1, , ,да, ,Автомобиль, автобус,,,,,,,
Архангельский театр кукол,Архангельск,театр,Недифференцирован,64.531851,, 40.529639,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,  ,,,,
Волшебный дом Снеговика,Архангельск,Детский туризм,Недифференцирован,64.575223, ,40.506577,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Гостиный двор, историко-архитектурный комплекс,Архангельск,Музей,Недифференцирован,64.538975, ,40.509542,круглогодично,круглогодично,1,1, , ,да, ,Автомобиль, автобус,,,,,,,
Дендрологический сад имени И.М. Стратоновича,Архангельск,Городские достопримечательности,Недифференцирован,64.528616,, 40.549620,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
"Колёсный пароход ""Н.В. Гоголь""",Архангельск,Водный туризм,Недифференцирован, , ,круглогодично,круглогодично,1,3, , ,да, ,Автомобиль, автобус,,,,,,,
"Комплекс исторических зданий ""Подворье Соловецкого монастыря""",Архангельск,Городские достопримечательности,Недифференцирован,64.534126, ,40.520116,круглогодично,круглогодично,1,1, , ,да, ,Автомобиль, автобус,,,,,,,
Михайло-Архангельский кафедральный собор,Архангельск,Городские достопримечательности,Недифференцирован,64.529520, ,40.535919,круглогодично,круглогодично,1,1, , ,да, ,Автомобиль, автобус,,,,,,,
Музей авиации Севера,Архангельск,Музей,Недифференцирован,64.595671,, 40.712703,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Музей Архангельского пряника-козули,Архангельск,Музей,Недифференцирован,64.534952, ,40.527851,круглогодично,круглогодично,1,1, , ,да, ,Автомобиль, автобус,,,,,,,
Музей Водорослевого комбината,Архангельск,Музей,Недифференцирован,64.500085, ,40.686737,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Музей художественного освоения Арктики им. А. А. Борисова,Архангельск,Музей,Недифференцирован,64.534602, ,40.525010,круглогодично,круглогодично,1,1, , ,да, ,Автомобиль, автобус,,,,,,,
Музей художника и сказочника С.Г. Писахова,Архангельск,Музей,Недифференцирован,64.534909, ,40.525093,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Новодвинская крепость (XVIII в.),Архангельск,Достопримечательность,Недифференцирован,64.700737, ,40.415838,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Поморская филармония,Архангельск,Культурный центр,Недифференцирован,64.536031, ,40.519167,круглогодично,круглогодично,1,1, , ,да, ,Автомобиль, автобус,,,,,,,
Поморская шхуна,Архангельск,Судостроение,Недифференцирован,64.529912, ,40.550544,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Поморский коч,Архангельск,Судостроение,Недифференцирован,, ,круглогодично,круглогодично,1,1, , ,да, ,Автомобиль, автобус,,,,,,,
Северный морской музей,Архангельск,Музей,Недифференцирован,64.534072,, 40.516926,круглогодично,круглогодично,1,1, , ,да, ,Автомобиль, автобус,,,,,,,
Северный русский народный хор,Архангельск,Культурный центр,Недифференцирован,64.550188, ,40.551904,круглогодично,круглогодично,1,1, , ,да, ,Автомобиль, автобус,,,,,,,
Соборная (Красная) пристань,Архангельск,Достопримечательность,Недифференцирован,64.534974, ,40.514280,круглогодично,круглогодично,1,1, , ,да, ,Автомобиль, автобус,,,,,,,
