PointName,TouristZone,PointType,ServiceClass,Latitude,Longitude,OpenDate,CloseDate,DaysMax,DaysMin,TouristsCount,AvPointPrice,NeedGuide,WorkersCount,TransportType,Tourists2022,Tourists2021,Tourists2020,Tourists2019,Tourists2018,Tourists2017,Tourists2016
Архангельский театр драмы имени М.В. Ломоносова,Архангельск,Театр,Недифференцирован,64.536504,40.515280,круглогодично,круглогодично,1,1,1,1,да,1,Автомобиль.автобус,1,1,1,1,1,1,1
"""Беломорские узоры"" (Народные художественные промыслы)",Архангельск,Этнический центр,Недифференцирован,64.559452,40.520756,круглогодично,круглогодично,1,1,2,2,да,2,Автомобиль.автобус,2,2,2,2,2,2,2
Архангельский молодежный театр,Архангельск,Театр,Недифференцирован,64.549876,40.519231,круглогодично,круглогодично,1,1,3,2,нет,3,Автомобиль.автобус,3,3,3,3,3,3,3
Архангельский музей изобразительных искусств,Архангельск,Музей,Недифференцирован,64.539888,40.518417,круглогодично,круглогодично,1,1,4,2,да,4,Автомобиль.автобус,4,4,4,4,4,4,4
Архангельский театр кукол,Архангельск,театр,Недифференцирован,64.531851, 40.529639,круглогодично,круглогодично,1,1,5,2,нет,5,Автомобиль.автобус,5,5,5,5,5,5,5
Волшебный дом Снеговика,Архангельск,Детский туризм,Недифференцирован,64.575223,40.506577,круглогодично,круглогодично,1,1,6,2,нет,6,Автомобиль.автобус,6,6,6,6,6,6,6
Гостиный двор,историко-архитектурный комплекс,Архангельск,Музей,Недифференцирован,64.538975,40.509542,круглогодично,круглогодично,1,1,7,2,да,7,Автомобиль.автобус,7,7,7,7,7,7,7
Дендрологический сад имени И.М. Стратоновича,Архангельск,Городские достопримечательности,Недифференцирован,64.528616, 40.549620,круглогодично,круглогодично,1,1,8,2,нет,8,Автомобиль.автобус,8,8,8,8,8,8,8
"Колёсный пароход ""Н.В. Гоголь""",Архангельск,Водный туризм,Недифференцирован, ,круглогодично,круглогодично,1,3,9,2,да,9,Автомобиль.автобус,9,9,9,9,9,9,9
"Комплекс исторических зданий ""Подворье Соловецкого монастыря""",Архангельск,Городские достопримечательности,Недифференцирован,64.534126,40.520116,круглогодично,круглогодично,1,1,10,2,да,10,Автомобиль.автобус,10,10,10,10,10,10,10
Михайло-Архангельский кафедральный собор,Архангельск,Городские достопримечательности,Недифференцирован,64.529520,40.535919,круглогодично,круглогодично,1,1,11,2,да,11,Автомобиль.автобус,11,11,11,11,11,11,11
Музей авиации Севера,Архангельск,Музей,Недифференцирован,64.595671, 40.712703,круглогодично,круглогодично,1,1,12,2,нет,12,Автомобиль.автобус,12,12,12,12,12,12,12
Музей Архангельского пряника-козули,Архангельск,Музей,Недифференцирован,64.534952,40.527851,круглогодично,круглогодично,1,1,13,2,да,13,Автомобиль.автобус,13,13,13,13,13,13,13
Музей Водорослевого комбината,Архангельск,Музей,Недифференцирован,64.500085,40.686737,круглогодично,круглогодично,1,1,14,2,нет,14,Автомобиль.автобус,14,14,14,14,14,14,14
Музей художественного освоения Арктики им. А. А. Борисова,Архангельск,Музей,Недифференцирован,64.534602,40.525010,круглогодично,круглогодично,1,1,15,2,да,15,Автомобиль.автобус,15,15,15,15,15,15,15
Музей художника и сказочника С.Г. Писахова,Архангельск,Музей,Недифференцирован,64.534909,40.525093,круглогодично,круглогодично,1,1,16,2,нет,16,Автомобиль.автобус,16,16,16,16,16,16,16
Новодвинская крепость (XVIII в.),Архангельск,Достопримечательность,Недифференцирован,64.700737,40.415838,круглогодично,круглогодично,1,1,17,2,нет,17,Автомобиль.автобус,17,17,17,17,17,17,17
Поморская филармония,Архангельск,Культурный центр,Недифференцирован,64.536031,40.519167,круглогодично,круглогодично,1,1,18,2,да,18,Автомобиль.автобус,18,18,18,18,18,18,18
Поморская шхуна,Архангельск,Судостроение,Недифференцирован,64.529912,40.550544,круглогодично,круглогодично,1,1,19,2,нет,19,Автомобиль.автобус,19,19,19,19,19,19,19
Поморский коч,Архангельск,Судостроение,Недифференцирован,круглогодично,круглогодично,1,1,20,2,да,20,Автомобиль.автобус,20,20,20,20,20,20,20
Северный морской музей,Архангельск,Музей,Недифференцирован,64.534072, 40.516926,круглогодично,круглогодично,1,1,21,2,да,21,Автомобиль.автобус,21,21,21,21,21,21,21
Северный русский народный хор,Архангельск,Культурный центр,Недифференцирован,64.550188,40.551904,круглогодично,круглогодично,1,1,22,2,да,22,Автомобиль.автобус,22,22,22,22,22,22,22
Соборная (Красная) пристань,Архангельск,Достопримечательность,Недифференцирован,64.534974,40.514280,круглогодично,круглогодично,1,1,23,2,да,23,Автомобиль.автобус,23,23,23,23,23,23,23
Усадебный дом Е. К. Плотниковой,Архангельск,Музей,Недифференцирован,64.533590,40.521813,круглогодично,круглогодично,1,1,24,2,нет,24,Автомобиль.автобус,24,24,24,24,24,24,24
"Центр традиционной и народной культуры ""Берендей""",Вельск,Этнический центр,Недифференцирован,61.078508,42.113482,круглогодично,круглогодично,1,1,25,2,да,25,Автомобиль.автобус,25,25,25,25,25,25,25
Вельский краеведческий музей им. В.Ф. Кулакова,Вельский район,Музей,Недифференцирован,61.076279,42.113134,круглогодично,круглогодично,1,1,26,2,нет,26,Автомобиль.автобус,26,26,26,26,26,26,26
"Научно-образовательный и культурный центр ""Дом Карпеченко""",Вельский район,Достопримечательность,Недифференцирован,61.074886,42.113971,круглогодично,круглогодично,1,1,27,2,нет,27,Автомобиль.автобус,27,27,27,27,27,27,27
Хорошевский коневодческий комплекс,Вельский район,Достопримечательность,Недифференцирован,61.079328,42.073439,круглогодично,круглогодично,1,1,28,2,да,28,Автомобиль.автобус,28,28,28,28,28,28,28
"Экспозиционно-выставочный комплекс ""Музей домовых росписей Поважья""",Вельский район,Этнический центр,Недифференцирован,61.076775, 42.112238,круглогодично,круглогодично,1,1,29,2,да,29,Автомобиль.автобус,29,29,29,29,29,29,29
Вилегодский районный краеведческий музей,Вилегодский район,Достопримечательность,Недифференцирован,61.112289,47.982437,круглогодично,круглогодично,1,1,30,2,да,30,Автомобиль.автобус,30,30,30,30,30,30,30
"Музей кухни и гОвори ""Деревенька на Виледи""",Вилегодский район,Достопримечательность,Недифференцирован,61.249050,47.739497,круглогодично,круглогодично,1,1,31,2,нет,31,Автомобиль.автобус,31,31,31,31,31,31,31
Свято-Ильинская церковь,Вилегодский район,Достопримечательность,Недифференцирован,62.096883,49.590256,круглогодично,круглогодично,1,1,32,2,да,32,Автомобиль.автобус,32,32,32,32,32,32,32
Храм святителя Николая Чудотворца в селе Никольск,Вилегодский район,Достопримечательность,Недифференцирован,61.256228,47.723629,круглогодично,круглогодично,1,1,33,2,нет,33,Автомобиль.автобус,33,33,33,33,33,33,33
"""Марусин дом"",креативное пространство",Каргополь,Этнический центр,Недифференцирован,61.500379,38.940086,круглогодично,круглогодично,1,1,34,2,нет,34,Автомобиль.автобус,34,34,34,34,34,34,34
"Бабкина поляна - ""памятное место"" мастера Каргопольской глиняной игрушки Ульяны Ивановны Бабкиной",Каргополь,Достопримечательность,Недифференцирован,61.535244, 38.750425,круглогодично,круглогодично,1,1,35,2,нет,35,Автомобиль.автобус,35,35,35,35,35,35,35
Введенская церковь (XIX в.),Каргополь,Достопримечательность,Недифференцирован,61.503542, 38.948333,круглогодично,круглогодично,1,1,36,2,нет,36,Автомобиль.автобус,36,36,36,36,36,36,36
Каргопольский историко-архитектурный и художественный музей,Каргополь,Музей,Недифференцирован,61.493440,38.931879,круглогодично,круглогодично,1,1,37,2,нет,37,Автомобиль.автобус,37,37,37,37,37,37,37
Музей «Ошевенская Волость»,Каргополь,Достопримечательность,Недифференцирован,61.858458,38.780617,круглогодично,круглогодично,1,1,38,2,нет,38,Автомобиль.автобус,38,38,38,38,38,38,38
Музей семьи Шевелевых и каргопольской глиняной игрушки,Каргополь,Этнический центр,Недифференцирован,61.506561,38.937558,круглогодично,круглогодично,1,1,39,2,нет,39,Автомобиль.автобус,39,39,39,39,39,39,39
Ошевенский Погост,Каргополь,Достопримечательность,Недифференцирован,61.863173,38.780199,круглогодично,круглогодично,1,1,40,2,нет,40,Автомобиль.автобус,40,40,40,40,40,40,40
Собор Рождества Христова (Христорождественский собор),Каргополь,Достопримечательность,Недифференцирован,61.503037,38.948234,круглогодично,круглогодично,1,1,41,2,нет,41,Автомобиль.автобус,41,41,41,41,41,41,41
"Центр народных ремесел ""Берегиня""",Каргополь,Этнический центр,Недифференцирован,61.506805,38.953280,круглогодично,круглогодично,1,1,42,2,нет,42,Автомобиль.автобус,42,42,42,42,42,42,42
