Location;Name;InfType;WorkersCount;OpenData;CloseDate;Tourists;AvPrice;Tourists2022;Tourists2021;Tourists2020;Tourists2019;Tourists20218;Tourists2017;Tourists2016
г. Вельск ;«Рандеву»;Кафе;4;круглогодично;круглогодично;100;250;30000;30000;20000;20000;17000;0;0
г. Вельск ;«Уют»;столовая;3;круглогодично;круглогодично;200;200;70000;60000;50000;40000;40000;35000;35000
п. Игнатовка;«Визит»;кафе;3;круглогодично;круглогодично;50;200;18000;15000;15000;10000;10000;10000;5000
д. Погореловская;«Уют»;кафе;6;круглогодично;круглогодично;100;250;30000;30000;30000;25000;25000;29000;20000
д. Малая  Липовка;кафе;кафе;3;круглогодично;круглогодично;50;200;15000;10000;10000;10000;7000;6000;7000
с.Благовещенск;«Важские зори»;кафе;4;круглогодично;круглогодично;50;200;16000;15000;13000;12000;10000;7000;6000
д. Леушинская;«Экспресс»;кафе;1;круглогодично;круглогодично;50;150;15000;14000;13000;10000;10000;8000;8000
с. Долматово;«Дорожное»;кафе;2;круглогодично;круглогодично;100;200;30000;27000;25000;20000;20000;20000;20000
с. Долматово;«790 км»;кафе;2;круглогодично;круглогодично;200;250;40000;40000;35000;35000;30000;30000;25000
г.Вельск;«Огни Вельска»;кафе;10;круглогодично;круглогодично;200;200;65000;60000;50000;45000;40000;35000;35000
д. Вороновская;«Все свои»;ресторан;10;круглогодично;круглогодично;100;300;10000;0;0;0;0;0;0
г. Вельск ; «Шафран»;ресторан;3;круглогодично;круглогодично;50;300;40000;40000;35000;35000;0;0;0
г. Вельск ;«Капучита»;кофейня;1;круглогодично;круглогодично;150;150;25000;25000;0;0;0;0;0
г. Вельск ;«Кубок чемпионов»;кафе;2;круглогодично;круглогодично;100;150;15000;15000;15000;10000;12000;12000;10000
г. Вельск ;столовая;столовая;2;круглогодично;круглогодично;100;200;20000;20000;15000;15000;14000;13000;12000
г. Вельск ;«Суши рай»;кафе;12;круглогодично;круглогодично;150;300;35000;35000;30000;25000;20000;0;0
г. Вельск ;«Север»;ресторан;7;круглогодично;круглогодично;50;250;30000;35000;30000;25000;20000;20000;16000
г. Вельск ;«Манго»;кафе;3;круглогодично;круглогодично;50;250;15000;15000;14000;13000;13000;0;0
г. Вельск ;«Погребок»;бар;1;круглогодично;круглогодично;50;200;30000;30000;25000;20000;20000;0;0
д. Филяевская;«Азербайджан»;кафе;2;круглогодично;круглогодично;200;350;65000;65000;60000;60000;55000;55000;50000
д. Шиловская; «Колесо»;кафе;6;круглогодично;круглогодично;200;300;70000;65000;65000;50000;50000;48000;45000
г. Вельск ;«Юрьево Подворье»;ресторан;7;круглогодично;круглогодично;50;400;50000;45000;45000;43000;39000;37000;35000
г. Вельск ;«СССР»;кафе;5;круглогодично;круглогодично;150;300;65000;60000;60000;56000;55000;45000;0
п. Кулой;Буфет ведомст;буфет;1;круглогодично;круглогодично;50;200;15000;15000;10000;10000;10000;0;0
г. Вельск ;Блинная;кафе;4;круглогодично;круглогодично;100;200;45000;15000;0;0;0;0;0
д. Шиловская;Кафе 114 км;кафе;3;круглогодично;круглогодично;150;300;50000;50000;45000;46000;40000;36000;35000
г. Вельск ;«Hampi»;кафе;2;круглогодично;круглогодично;100;350;35000;30000;30000;0;0;0;0
г. Вельск ; «Додо пицца»;кафе;6;круглогодично;круглогодично;200;350;70000;68000;65000;60000;57000;55000;0
г. Вельск ;«Динозаврия»;кафетерий;1;круглогодично;круглогодично;200;350;60000;55000;55000;50000;45000;40000;36000
г. Вельск ;«Хот дог»;закусочная;1;круглогодично;круглогодично;50;200;15000;10000;0;0;0;0;0
г. Вельск ;«Вагарден»;ресторан;8;круглогодично;круглогодично;200;400;73000;70000;65000;56000;50000;0;0
г. Вельск ;«Троицкая»;кофейня;6;круглогодично;круглогодично;200;400;70000;70000;65000;64000;60000;0;0
г. Вельск ;«Суши-шоп»;кафе;2;круглогодично;круглогодично;200;300;60000;55000;50000;46000;0;0;0
г. Вельск ; «MAKI YAMA»;кафе;8;круглогодично;круглогодично;200;300;65000;65000;47000;45000;40000;0;0
г. Вельск ;Суши маркет;кафе;6;круглогодично;круглогодично;150;300;57000;50000;45000;0;0;0;0
г. Вельск ;« Шаурма»;киоск;2;круглогодично;круглогодично;50;200;25000;23000;0;0;0;0;0
г. Вельск ;«HOOKAN ROOM”;бар;5;круглогодично;круглогодично;150;300;45000;0;0;0;0;0;0
г. Вельск ;«Бульвар»;ресторан;3;круглогодично;круглогодично;200;300;65000;64000;60000;50000;0;0;0
г. Вельск ; «Фантазия»;столовая;5;круглогодично;круглогодично;200;200;57000;55000;50000;50000;45000;40000;35000
г. Вельск ;«Эра»;кафе;4;круглогодично;круглогодично;200;300;65000;60500;64000;60000;0;0;0
г. Вельск ; «STREET FOOD»;кафе;1;круглогодично;круглогодично;150;250;46000;0;0;0;0;0;0
г. Вельск ;Столовая при ЦРБ;столовая;2;круглогодично;круглогодично;100;150;25000;25000;20000;20000;20000;15000;15000
г. Вельск ;«Сохатый лось»;рестобар;5;круглогодично;круглогодично;200;300;39000;0;0;0;0;0;0
город Онега;Ресторан «Старый город»;Ресторан;8;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
город Онега;Столовая Дворец спорта;Столовая;6;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
город Онега;Столовая «Беломорочка»;Столовая;15;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
город Онега;Кафе «Любимый дворик»;Кафе;12;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
город Онега;Кафе «Трактир на Соборном»;Ресторан;15;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
город Онега;Кафе «Аленушка»;Кафе;1;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
город Онега;Кафе «Час Пик»;Кафе;1;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
