Year,Jan,Feb,March,April,May,June,july,August,September,October,November,December
2022,-,-,64332,-,-,75011,-,-,79118,-,-,70329
2021,-,-,58641,-,-,74852,-,-,75796,-,-,62734
2020,-,-,68019,-,-,10196,-,-,65542,-,-,87107
2019,-,-,74793,-,-,72938,-,-,126113,-,-,86801
2018,-,-,68156,-,-,65520,-,-,94678,-,-,132528
2017,-,-,50015,-,-,57218,-,-,60640,-,-,62084
2016,-,-,73247,-,-,61887,-,-,70078,-,-,74500
2015,-,-,42240,-,-,43940,-,-,44805,-,-,41831
2014,-,-,46959,-,-,43561,-,-,49894,-,-,49911
2013,-,-,47748,-,-,42632,-,-,56662,-,-,51917
2012,-,-,52287,-,-,47881,-,-,50175,-,-,52561
2011,-,-,40793,-,-,49569,-,-,45983,-,-,56125
